date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:42:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/dls23	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index2192.html	(from https://free.kurd4u.com/)
01:42:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/root.php/15	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index77cd.html	(from https://free.kurd4u.com/)
01:42:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/farming	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index4fd2.html	(from https://free.kurd4u.com/)
01:42:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/gettingover	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/indexc413.html	(from https://free.kurd4u.com/)
01:42:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/gtasan	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/indexc9b6.html	(from https://free.kurd4u.com/)
01:42:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/gtakurd	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index9c16.html	(from https://free.kurd4u.com/)
01:42:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/gtavice	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index2ba4.html	(from https://free.kurd4u.com/)
01:42:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/gtaiii	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index79f8.html	(from https://free.kurd4u.com/)
01:42:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/hayday2	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/indexf9f0.html	(from https://free.kurd4u.com/)
01:42:03	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/minecraft	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/indexdd41.html	(from https://free.kurd4u.com/)
01:42:03	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/moviespirit	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index9cb8.html	(from https://free.kurd4u.com/)
01:42:03	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/ark	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/indexb299.html	(from https://free.kurd4u.com/)
